runtime,model,precision,alpha,similarity
0.720859,small,single,0.1,Tfunction
1.620493,small,single,0.1,euclidean
1.534188,small,single,0.1,squaredeuclidean
2.84663,small,single,0.1,seuclidean
1.548004,small,single,0.1,cityblock
1.61431,small,single,0.1,chebychev
2.143216,small,single,0.1,cosine
2.510917,small,single,0.1,correlation
0.546446,small,single,0.2,Tfunction
0.819801,small,single,0.2,euclidean
0.796289,small,single,0.2,squaredeuclidean
1.426536,small,single,0.2,seuclidean
0.814718,small,single,0.2,cityblock
0.850031,small,single,0.2,chebychev
1.386959,small,single,0.2,cosine
1.310618,small,single,0.2,correlation
0.505437,small,single,0.3,Tfunction
0.586109,small,single,0.3,euclidean
0.574241,small,single,0.3,squaredeuclidean
0.977364,small,single,0.3,seuclidean
0.576881,small,single,0.3,cityblock
0.602678,small,single,0.3,chebychev
1.089556,small,single,0.3,cosine
1.016311,small,single,0.3,correlation
0.940555,small,double,0.1,Tfunction
2.117279,small,double,0.1,euclidean
2.029703,small,double,0.1,squaredeuclidean
3.541538,small,double,0.1,seuclidean
2.105772,small,double,0.1,cityblock
2.342181,small,double,0.1,chebychev
2.699055,small,double,0.1,cosine
2.565681,small,double,0.1,correlation
0.612369,small,double,0.2,Tfunction
1.067358,small,double,0.2,euclidean
1.037264,small,double,0.2,squaredeuclidean
1.82077,small,double,0.2,seuclidean
1.053775,small,double,0.2,cityblock
1.188988,small,double,0.2,chebychev
1.317737,small,double,0.2,cosine
1.358383,small,double,0.2,correlation
0.555789,small,double,0.3,Tfunction
0.741147,small,double,0.3,euclidean
0.84583,small,double,0.3,squaredeuclidean
1.145143,small,double,0.3,seuclidean
0.699594,small,double,0.3,cityblock
0.812869,small,double,0.3,chebychev
0.967534,small,double,0.3,cosine
0.997171,small,double,0.3,correlation
